Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2016-11-07,37.2765,38.107,37.2765,37.3627,117353.9785533
2016-11-08,37.4745,37.6537,37.3241,37.3706,67919.337461896
2016-11-09,36.8153,38.3525,36.8153,37.3429,129435.30776178
2016-11-10,37.4369,37.8437,37.2765,37.3241,67361.644392564
2016-11-14,37.4656,37.6081,37.2765,37.3241,211302.02352465
2016-11-15,37.334,37.7398,37.2963,37.7299,97552.84365139
2016-11-16,37.7398,37.7675,37.3429,37.4844,73062.843650254
2016-11-17,37.4844,37.7398,37.1449,37.3904,192826.41997594
2016-11-18,37.5606,37.7487,36.164,37.7487,513586.821806
2016-11-21,37.7487,37.9377,37.4191,37.8813,113179.36304155
2016-11-22,37.8813,40.7873,37.8813,40.7873,307647.54250602
2016-11-23,40.9576,41.5237,40.2875,40.7873,546272.48517385
2016-11-24,41.0793,46.4123,41.0793,45.9303,821805.19145726
2016-11-25,46.7142,47.1289,44.3743,46.2332,577238.59491126
2016-11-28,46.252,46.9973,45.4403,45.865,327112.24300197
2016-11-29,45.865,46.2421,44.9395,45.5344,419555.93112507
2016-11-30,45.5631,45.9016,44.8267,45.0256,282727.14894051
2016-12-01,45.3552,48.0168,44.9771,47.4219,641135.87420466
2016-12-02,48.0168,50.9604,47.2626,48.7522,529961.98352293
2016-12-05,49.357,50.6783,49.357,50.6595,231576.99547279
2016-12-06,50.9703,51.4325,48.7423,49.6489,209546.09860708
2016-12-07,49.6875,49.9508,46.4598,48.2246,348518.76610528
2016-12-08,48.4602,49.4896,46.5915,49.3273,300332.87253868
2016-12-09,50.0082,50.0171,47.6585,48.6107,224719.99753518
2016-12-12,48.8848,49.0739,47.9594,48.8848,175142.90223585
2016-12-13,48.8848,49.8954,48.3187,49.3659,75790.690185034
2016-12-14,49.545,50.6397,48.8383,49.545,175558.14109725
2016-12-15,50.0171,50.4319,49.0739,49.9983,107394.30776076
2016-12-16,50.0171,50.1963,48.1484,48.7522,256997.49423634
2016-12-19,48.5067,48.5067,47.3279,47.6585,418480.95752766
2016-12-20,47.6585,49.545,47.3279,48.3276,1702774.3433133
2016-12-21,49.1679,49.253,48.3939,49.0739,108210.64109413
2016-12-22,48.7898,48.8848,48.6017,48.6681,54304.35231275
2016-12-23,48.7423,49.4975,48.6582,49.3659,91380.838288067
2016-12-27,49.2619,49.5163,49.064,49.0739,153343.36716883
2016-12-28,48.8848,49.7341,48.7898,49.6875,84876.439772914
2016-12-29,49.6875,49.8192,49.0739,49.3748,50594.481025449
2016-12-30,49.545,49.545,49.1392,49.2619,255798.25207457
2017-01-02,49.2619,49.6014,49.2619,49.4322,30287.179044309
2017-01-03,49.4609,49.838,48.5067,49.2154,161822.92863787
2017-01-04,49.2619,49.4035,48.6681,48.9878,84621.840763001
2017-01-05,48.7898,49.7341,48.677,49.2619,82966.947198568
2017-01-09,49.3085,49.7242,48.6304,49.7242,138499.8407655
2017-01-10,49.2619,50.7714,49.2619,50.0171,197190.97443159
2017-01-11,50.1963,52.7341,50.1963,51.386,419172.01198314
2017-01-12,51.8958,52.9707,51.5078,51.7631,285791.42988124
2017-01-13,52.3768,52.5649,50.2537,50.8763,180504.63614699
2017-01-16,50.8763,52.2541,50.8763,51.8958,169354.81601446
2017-01-17,52.1402,52.3669,51.678,52.0561,174110.36180676
2017-01-18,52.4609,52.4609,51.7334,51.971,151398.51362088
2017-01-19,51.9987,53.0657,51.8196,53.0657,264850.66131592
2017-01-20,53.4052,55.1987,53.131,55.1502,255258.7446488
2017-01-23,55.3115,57.0951,53.9902,55.8203,368448.21082567
2017-01-24,55.8678,56.2073,54.9245,56.1509,141368.12088115
2017-01-25,56.1509,56.7923,55.3303,56.2736,136264.01692051
2017-01-26,56.623,56.718,55.6797,56.1608,254370.6790547
2017-01-27,56.33,56.33,55.2264,55.9163,79685.448848581
2017-01-30,55.6797,55.8302,55.4432,55.6797,112928.80528577
2017-01-31,55.4907,55.6322,54.2643,55.3482,133364.41708539
2017-02-01,55.5847,56.141,55.4907,55.6797,120100.01073164
2017-02-02,55.6797,56.4627,54.3772,55.6797,265341.67369218
2017-02-03,55.6797,56.038,54.9909,55.463,103908.72607743
2017-02-06,55.4907,56.6042,55.4907,56.3389,133569.51073227
2017-02-07,56.6131,58.3225,56.5102,58.3225,228204.56890497
2017-02-08,58.3225,62.2668,58.3225,59.9269,397542.2095894
2017-02-09,61.1523,61.4265,60.4931,61.0494,195756.329217
2017-02-10,61.2483,63.5417,61.0494,62.9082,268489.81065602
2017-02-13,63.2289,65.5787,63.2289,65.5321,245363.73392227
2017-02-14,65.5876,66.1636,64.6453,65.3995,169981.21040392
2017-02-15,65.7766,65.7766,64.7492,65.5876,115454.58911427
2017-02-16,65.6826,65.6826,65.1174,65.5876,115806.17822319
2017-02-17,65.5876,66.0607,65.3055,65.3055,155769.12995772
2017-02-20,65.5787,65.9657,65.3995,65.9657,119019.98556658
2017-02-21,65.9657,70.2594,65.9568,70.0515,335883.78508159
2017-02-22,72.6656,73.3842,67.1178,68.5144,535812.70918327
2017-02-23,69.3636,70.9493,68.7034,70.1564,198543.78425013
2017-02-24,70.6286,70.778,66.4467,67.004,335802.95999907
2017-02-27,67.004,68.7034,66.9941,68.1373,214918.94596706
2017-02-28,68.4194,68.8915,62.3796,66.4853,1060062.3799997
2017-03-01,67.004,69.9763,66.5783,69.9298,368607.84036363
2017-03-02,70.3069,71.6659,68.8915,69.5329,240734.4773214
2017-03-03,69.816,69.8357,68.4194,68.8915,147292.59942927
2017-03-06,68.8915,69.1558,67.0515,67.098,159586.09447935
2017-03-07,66.8159,69.7407,64.7492,69.1469,438177.01982231
2017-03-08,69.3636,69.8357,68.0422,69.0607,243368.36469776
2017-03-09,69.0607,69.0805,67.1732,68.4194,139673.82508899
2017-03-10,68.4194,70.1752,68.4194,69.0607,138199.77764667
2017-03-13,69.5527,69.9199,68.1185,68.8915,133539.20132633
2017-03-14,69.3636,69.9298,68.9855,69.9298,172964.66626215
2017-03-15,70.3069,71.7134,69.4289,69.816,313447.75248979
2017-03-16,70.9681,72.1004,70.685,71.7233,193818.54786378
2017-03-17,72.1944,72.6656,71.7233,72.6656,248432.05611713
2017-03-20,72.6656,73.0437,71.7233,72.1845,145522.53012226
2017-03-21,72.1845,72.1845,71.2413,71.9866,201694.95215457
2017-03-22,71.1561,71.1561,68.4194,69.7407,294772.10686186
2017-03-23,69.3725,72.0054,69.3725,71.4956,109095.67574763
2017-03-24,71.4867,71.9589,70.5712,71.4392,113519.83870164
2017-03-27,70.3168,71.3462,69.5052,69.9298,85893.825499034
2017-03-28,70.4583,71.0146,68.5144,69.0805,181760.45586652
2017-03-29,69.0805,69.816,68.4194,68.5243,130268.81642518
2017-03-30,70.3554,72.9397,68.9113,70.3069,408351.55406185
2017-03-31,71.2502,71.5243,69.5527,70.0238,144484.93812551
2017-04-03,70.6751,70.6751,69.2785,69.6279,96311.168321299
2017-04-04,69.2686,70.2129,69.2686,69.5428,93662.126241968
2017-04-05,69.6457,70.5712,69.1657,69.1746,131620.6159302
2017-04-06,66.5328,69.3636,66.5328,68.1838,120746.61139174
2017-04-07,68.1838,68.3916,67.004,67.9482,121135.58210133
2017-04-10,67.7592,67.9482,64.8234,65.0313,305558.21412308
2017-04-11,65.1174,65.7202,62.0778,62.6627,1001764.2582973
2017-04-12,62.2005,63.9841,62.1906,62.5212,445709.91751242
2017-04-13,62.5677,63.1161,58.7085,61.1523,538355.6683418
2017-04-18,61.6254,65.0125,61.3701,62.7568,334003.59159965
2017-04-19,63.2289,66.1072,63.0398,66.1072,241528.58375708
2017-04-20,67.004,67.8532,64.2672,64.7492,199832.9443162
2017-04-21,64.7205,65.3055,62.8043,62.9547,251937.84407109
2017-04-24,63.513,64.0316,62.0976,62.9933,138674.62500643
2017-04-25,63.2289,63.607,61.2483,62.0976,287126.05405622
2017-04-26,61.8135,61.8135,59.9269,61.4364,353615.79787119
2017-04-27,61.3414,63.8238,61.0682,63.6446,179497.35355618
2017-04-28,63.8802,64.3147,63.607,63.9742,204409.66461344
2017-05-02,64.6166,67.193,63.994,65.1174,187398.00537173
2017-05-04,66.0409,66.325,62.3143,63.8238,188263.84406814
2017-05-05,62.4747,64.6354,62.3232,63.6159,199825.87212148
2017-05-08,64.1722,64.6453,62.7568,62.7568,93337.815598389
2017-05-09,62.832,63.6911,61.9273,62.2856,204407.64398638
2017-05-10,62.2856,64.871,61.955,64.871,219717.93524122
2017-05-11,65.0412,65.3055,63.7297,64.1821,80210.811884909
2017-05-12,63.4753,64.6354,63.3239,63.513,97773.092001235
2017-05-15,64.9274,64.9274,62.8805,63.3239,210995.89852464
2017-05-16,62.3886,63.7396,62.2856,62.5964,156480.39068383
2017-05-17,62.2856,62.5212,60.8702,61.9075,236421.44885585
2017-05-18,61.861,62.9547,60.8702,61.8135,208318.56766643
2017-05-19,62.4272,62.8419,61.8699,62.4648,190039.97525634
2017-05-22,62.7568,65.5697,62.7568,65.0224,248054.19885639
2017-05-23,65.5787,65.5787,64.1266,65.1174,179685.27187302
2017-05-24,66.2487,68.7965,66.2487,67.4672,697438.62668252
2017-05-25,69.8447,71.6283,69.4576,69.4576,536082.46289615
2017-05-26,69.6942,70.297,68.259,68.8915,173685.01981004
2017-05-29,69.7051,71.5441,69.1409,71.3333,383301.84036431
2017-05-30,71.6005,75.1539,71.3333,74.3017,630703.37667942
2017-05-31,73.7929,75.632,73.0951,75.5755,522166.40431465
2017-06-01,75.5459,78.5142,74.8758,78.5142,528035.31561855
2017-06-02,78.7053,79.3665,77.5571,78.5142,249855.58788288
2017-06-05,78.9745,79.4714,76.6,76.6,204564.24258375
2017-06-06,74.7807,76.6,73.5356,76.6,371317.50125485
2017-06-07,77.0781,78.4954,75.2776,76.791,203110.40141206
2017-06-08,77.1553,78.3707,76.1209,78.2173,245621.36387278
2017-06-09,78.1312,79.3665,77.088,78.7251,278779.85397333
2017-06-12,78.5043,78.5043,76.6465,78.2262,248027.93070457
2017-06-13,77.1741,80.4285,77.0781,80.4196,417592.89193356
2017-06-14,80.4196,81.2817,78.2648,78.2648,254146.38945073
2017-06-16,77.8442,80.4107,77.8442,79.0883,157751.36510633
2017-06-19,80.2375,80.9076,79.9504,80.4196,168536.46205402
2017-06-20,80.4285,80.8026,79.0032,79.8257,136146.82055087
2017-06-21,80.2177,80.668,79.0695,79.4328,202082.91255063
2017-06-22,79.1853,80.6017,78.9933,78.9933,217217.409251
2017-06-23,78.9933,80.2375,78.9933,80.0652,47883.809820703
2017-06-26,79.8069,82.3447,79.8069,82.3447,213184.23763365
2017-06-27,82.5358,83.1682,81.5885,82.3447,113631.98350362
2017-06-28,82.3447,83.0712,81.8657,81.8657,117040.78135856
2017-06-29,81.8746,82.3447,81.7123,82.3447,62933.440184437
2017-06-30,82.2962,82.8139,81.3965,82.3823,101933.56312354
2017-07-03,82.3823,82.4398,80.9175,81.6836,163200.9962947
2017-07-04,81.6836,81.6836,79.6723,80.0751,74591.448023262
2017-07-05,80.0751,80.3236,74.7035,79.1853,528529.35893541
2017-07-06,79.1853,79.1853,77.0107,78.0352,335575.63945451
2017-07-07,77.6521,78.5043,76.312,76.312,85818.051984179
2017-07-10,76.504,78.4083,76.504,77.9402,89902.749591629
2017-07-11,78.5142,79.3665,77.1929,77.5858,110423.22772789
2017-07-12,77.5858,79.3763,77.5858,79.2704,89628.95462462
2017-07-13,79.4714,79.8544,78.7053,79.8544,169459.88862172
2017-07-14,80.1424,80.1424,77.6521,78.3707,82826.513617703
2017-07-17,79.1269,79.1269,77.7966,78.4281,74624.788369798
2017-07-18,77.662,79.0794,77.662,78.9933,109007.7784704
2017-07-19,78.8874,79.6634,78.7053,79.6634,75011.738452324
2017-07-20,79.6634,82.8139,79.6634,82.8139,236019.34407035
2017-07-21,82.8139,84.259,82.8139,83.3019,141014.51114516
2017-07-24,83.3019,83.4929,82.899,83.3019,78903.466175277
2017-07-25,83.3019,84.45,80.477,83.4929,130609.29208527
2017-07-26,83.9334,84.259,83.0148,83.5701,77847.688534964
2017-07-27,83.7809,84.7381,83.3019,83.675,108678.41625917
2017-07-28,84.259,84.259,81.8657,83.091,90778.691423353
2017-07-31,84.259,84.259,82.1725,82.8238,115470.75413077
2017-08-01,83.1098,83.7324,82.6031,83.4929,76817.168732936
2017-08-02,83.5315,84.2491,82.3447,83.0049,112877.27929567
2017-08-03,82.4398,82.804,81.3965,82.0092,107013.41955942
2017-08-04,81.3866,83.1771,81.3866,81.6935,79814.7689806
2017-08-07,82.5358,82.9188,81.8746,82.0567,89338.994641108
2017-08-08,82.5259,83.091,80.4483,81.2055,117646.9694774
2017-08-09,81.3866,81.3866,80.5542,80.6205,72213.169970346
2017-08-10,80.6205,82.4398,80.5344,81.2332,55311.634903556
2017-08-11,80.4285,80.8501,79.5674,80.4285,99343.119229031
2017-08-14,80.4285,81.1768,79.6822,81.0135,39278.969473769
2017-08-16,81.3866,83.4929,80.7551,83.3019,114372.54332214
2017-08-17,83.2821,83.4929,82.4398,83.1098,183675.00000852
2017-08-18,82.9188,83.1098,81.8657,82.8238,35937.862625429
2017-08-21,82.5358,83.292,82.1428,82.8238,53083.893566819
2017-08-22,82.8238,83.3019,80.9076,81.444,140019.35231673
2017-08-23,82.3249,82.3249,80.6205,81.1095,363139.01321816
2017-08-24,81.2906,81.3866,80.9076,81.1956,57446.427395404
2017-08-25,81.3866,81.9617,80.5255,81.2906,71858.549920825
2017-08-28,81.2906,81.3777,80.668,80.8125,70551.204211193
2017-08-29,81.3777,81.3777,76.6376,77.0969,348957.2421779
2017-08-30,78.3905,79.3575,77.1929,77.567,186046.20586672
2017-08-31,78.5142,80.5542,78.5142,79.8544,238671.41709028
2017-09-01,80.5542,81.2144,79.2892,80.6205,224802.84324475
2017-09-04,80.5255,82.3447,79.5001,81.9132,117565.13408136
2017-09-05,81.6737,82.9287,78.8201,80.2375,240799.13738741
2017-09-06,80.2375,80.8026,77.9402,78.5241,198791.31106533
2017-09-07,82.4398,86.1841,82.4398,86.1841,967996.54913731
2017-09-08,86.6523,91.2014,86.3663,90.6273,909603.45796299
2017-09-11,92.11,96.5156,92.11,95.7465,913639.66052093
2017-09-12,97.1411,102.067,93.8441,100.157,684605.62420667
2017-09-13,100.157,104.948,98.1893,102.453,560330.99796329
2017-09-14,102.453,104.651,100.533,102.067,386104.45010042
2017-09-15,101.879,102.453,98.1418,99.4741,1091840.7818163
2017-09-18,99.4345,102.453,99.0089,101.493,244415.04951629
2017-09-19,102.018,104.849,101.493,104.849,266851.08210809
2017-09-20,104.364,110.589,104.176,109.065,548096.10109803
2017-09-21,110.114,112.025,105.413,107.244,480031.27848761
2017-09-22,107.571,109.53,105.037,109.154,366442.73846584
2017-09-25,109.352,111.451,107.046,108.343,164771.02352249
2017-09-26,108.729,109.53,105.561,106.333,217218.41956453
2017-09-27,105.611,108.729,105.611,107.383,166519.87624535
2017-09-28,107.383,110.015,107.383,109.916,300076.25290171
2017-09-29,109.916,111.54,108.432,111.312,203922.69349131
2017-10-02,111.312,111.975,108.768,109.679,118218.80693618
2017-10-03,109.778,111.312,109.481,110.114,62020.116752052
2017-10-04,109.867,110.401,108.729,108.729,133265.40635932
2017-10-05,109.679,109.916,108.481,109.065,222220.48185849
2017-10-06,109.105,111.074,109.105,110.787,271441.94679477
2017-10-09,110.787,111.451,110.401,111.025,208841.91007569
2017-10-10,111.074,111.074,110.114,110.926,289628.6006735
2017-10-11,111.025,118.726,109.253,113.935,515052.78674006
2017-10-12,115.192,118.052,112.025,112.025,488734.11924709
2017-10-13,114.034,117.765,111.361,112.797,698404.48641854
2017-10-16,114.232,114.707,111.837,112.935,343184.31065948
2017-10-17,112.985,113.46,108.679,109.629,453565.10521906
2017-10-18,109.154,109.629,105.561,106.759,354698.85397685
2017-10-19,106.234,108.006,106.185,107.006,196657.52888701
2017-10-20,108.194,110.639,107.145,107.719,279148.61841229
2017-10-23,107.719,109.154,107.719,108.481,156456.14315907
2017-10-24,109.154,109.154,107.521,108.58,267566.38408832
2017-10-25,108.194,109.154,108.194,108.966,212224.43977882
2017-10-26,109.154,114.271,109.016,112.797,422575.75827043
2017-10-27,113.272,115.38,112.549,113.46,284413.36222441
2017-10-30,113.46,113.935,112.173,112.935,171711.87748321
2017-10-31,113.509,115.855,113.084,115.469,452293.12048303
2017-11-02,116.291,116.291,113.648,114.905,257502.65100204
2017-11-03,115.192,116.33,114.133,114.133,174679.16832493
2017-11-06,114.133,116.716,113.46,115.855,127120.67946134
2017-11-07,116.142,119.686,115.38,119.211,285889.43029379
2017-11-08,119.587,122.556,119.26,120.883,545904.73104842
2017-11-09,120.883,122.556,119.874,119.874,266303.49217407
2017-11-10,119.874,121.596,118.349,119.587,160784.32632759
2017-11-13,118.726,118.726,106.858,109.867,1013525.3181163
2017-11-14,112.025,112.361,93.8441,102.839,1784045.9844062
2017-11-15,102.216,104.364,98.8109,102.453,557899.17329321
2017-11-16,106.284,107.62,103.889,105.324,437421.30530082
2017-11-17,106.472,108.343,104.126,106.571,398138.29457292
2017-11-20,107.244,110.876,106.67,108.679,477201.39028616
2017-11-21,110.589,110.688,105.561,107.67,571575.78756777
2017-11-22,94.7914,105.235,91.919,101.493,1307706.3915623
2017-11-23,100.682,103.602,98.7713,100.345,484121.02766272
2017-11-24,100.919,102.928,100.345,100.533,265537.67451727
2017-11-27,100.533,103.691,100.533,102.552,1015178.1910537
2017-11-28,103.404,104.463,100.058,100.058,619620.23723996
2017-11-29,99.672,101.444,93.8342,93.8342,1072750.9076405
2017-11-30,92.8761,98.7713,91.1727,97.1896,6701173.2404099
2017-12-01,98.0458,99.1078,88.2429,92.6851,1158108.2566544
2017-12-04,90.9619,93.1255,87.3323,92.2545,723716.88163423
2017-12-05,91.5646,95.7366,91.1143,95.3278,612926.91009444
2017-12-06,95.7465,96.0345,90.6362,93.8243,875490.22157526
2017-12-07,93.0305,94.5904,91.2677,91.8428,213045.82467985
2017-12-08,92.6851,93.757,89.2386,90.0047,423734.58789094
2017-12-11,90.0047,90.7322,85.3121,85.6952,758609.06975466
2017-12-12,85.2171,87.7737,84.355,87.7737,444944.09985562
2017-12-13,88.0885,95.3664,88.0321,92.9632,868106.85028779
2017-12-14,93.8342,95.0784,89.7355,91.2964,295255.03672987
2017-12-15,91.4874,93.0869,89.7553,92.398,337784.18483415
2017-12-18,92.8761,94.2658,90.2057,91.8705,184340.79662571
2017-12-19,91.8903,96.0345,91.5359,95.6535,344214.83046151
2017-12-20,95.7465,97.4678,94.7914,95.3179,206928.37624722
2017-12-21,95.2229,96.1791,92.302,96.083,328201.36098882
2017-12-22,95.8425,96.9006,94.7439,95.89,188784.15553681
2017-12-27,96.0345,97.6608,95.5575,97.6608,261054.91337845
2017-12-28,98.6229,98.6229,94.3707,94.7914,316938.38574077
2017-12-29,92.4931,95.2417,92.3307,92.8761,457339.63657237
2018-01-03,93.5472,95.7465,93.5472,93.8342,221620.35562084
2018-01-04,94.7914,95.509,93.1156,93.8342,201071.5887057
2018-01-05,94.7914,95.1744,93.5947,94.7914,126176.03630948
2018-01-08,95.1744,96.8046,94.1688,96.4196,296869.51775304
2018-01-09,96.4196,96.5156,94.9834,95.7465,128332.04538549
2018-01-10,95.6535,95.6535,93.5947,93.9778,106954.8213746
2018-01-11,94.7914,102.255,94.1213,99.771,467158.87378405
2018-01-12,100.533,103.79,99.8601,102.453,380824.55158532
2018-01-15,103.889,104.75,101.206,101.305,136827.77187103
2018-01-16,102.453,107.343,101.968,106.373,407560.47856676
2018-01-17,107.244,113.935,106.759,113.935,804386.3758624
2018-01-18,115.855,118.151,111.074,114.608,671342.22816645
2018-01-19,114.905,116.241,112.025,116.142,350042.31891063
2018-01-22,116.716,116.716,113.084,114.232,211300.00289759
2018-01-23,113.648,115.469,111.164,113.272,270438.70545809
2018-01-24,112.025,113.747,109.352,111.54,271316.66791688
2018-01-25,111.074,111.451,107.244,107.244,215893.89852487
2018-01-26,106.373,111.639,106.373,109.916,131202.3461282
2018-01-29,110.114,110.876,107.808,110.876,102665.03012027
2018-01-30,110.114,110.114,107.808,109.154,82600.20338667
2018-01-31,109.154,113.648,108.481,111.074,335443.2883819
2018-02-01,111.164,112.411,108.768,110.114,119654.4624643
2018-02-02,109.253,109.817,107.907,108.58,171890.70297827
2018-02-05,106.284,107.521,103.889,104.849,205487.66915145
2018-02-06,98.2378,103.027,97.4678,101.493,587578.14359161
2018-02-07,105.235,106.571,103.602,106.571,309596.43730809
2018-02-08,108.194,109.728,104.948,106.284,264620.30983076
2018-02-09,104.562,106.185,101.681,101.681,380354.75579322
2018-02-12,104.562,104.651,101.78,102.166,191404.90883726
2018-02-13,103.126,105.512,102.552,104.463,268611.04827979
2018-02-14,104.651,106.571,103.126,104.275,294605.40512918
2018-02-15,106.284,106.472,104.275,104.275,230950.60108332
2018-02-16,104.849,106.957,104.849,106.086,170685.39893531
2018-02-19,105.997,106.185,103.889,104.364,65218.769392464
2018-02-20,104.364,104.75,102.354,104.364,40071.055282387
2018-02-21,103.978,105.136,103.225,104.849,57776.799920172
2018-02-22,104.849,105.037,103.314,105.037,117290.32880082
2018-02-23,105.037,105.324,102.74,103.978,85331.080862044
2018-02-26,105.037,105.136,101.582,102.354,101375.87005421
2018-02-27,102.453,103.027,100.731,103.027,90065.410070184
2018-02-28,102.453,103.602,99.2959,102.453,275580.19101938
2018-03-01,101.305,101.968,98.9099,100.345,153476.72855497
2018-03-02,100.246,102.255,99.4741,101.394,132517.77434608
2018-03-05,101.493,101.968,100.058,101.493,132405.6295441
2018-03-06,101.493,102.255,97.8528,99.1969,156192.45132738
2018-03-07,99.2959,105.136,95.4139,105.136,356996.30694725
2018-03-08,105.799,106.67,103.602,103.602,142318.82591419
2018-03-09,103.602,105.799,101.681,104.849,347837.81478511
2018-03-12,105.136,110.015,104.176,109.629,312640.5119782
2018-03-13,110.114,110.589,108.006,109.441,279097.09242219
2018-03-14,109.441,109.728,107.343,109.728,183711.37129565
2018-03-15,109.629,109.728,108.392,108.679,260700.29332892
2018-03-16,108.194,108.194,102.552,104.562,989369.73189408
2018-03-19,105.7,107.244,103.404,104.651,214895.70875584
2018-03-20,105.611,105.611,103.602,105.136,222613.49382221
2018-03-21,105.799,108.392,104.364,108.095,280675.20215823
2018-03-22,108.679,111.074,103.978,107.244,366037.60273975
2018-03-23,104.651,106.571,102.74,106.284,240048.47443358
2018-03-26,106.759,106.759,103.978,104.364,148184.7062775
2018-03-27,105.997,110.302,105.799,108.095,225474.70174313
2018-03-28,106.284,107.244,103.978,104.562,186080.55652678
2018-03-29,105.611,106.284,104.077,104.75,147866.45751511
2018-04-03,104.275,105.611,103.126,104.948,236960.95628162
2018-04-04,105.037,106.858,104.176,106.759,296058.23598733
2018-04-05,107.244,111.837,107.145,110.015,425168.222792
2018-04-06,110.589,115.954,110.589,115.281,667631.34656562
2018-04-09,114.905,120.646,113.559,118.052,452859.90637414
2018-04-10,118.438,119.686,115.281,119.686,276150.00785109
2018-04-11,119.686,121.982,117.102,119.408,306703.90966769
2018-04-12,118.923,121.418,117.389,118.438,268586.80075503
2018-04-13,118.726,120.448,116.914,116.914,127273.23680458
2018-04-16,116.914,118.25,113.559,114.232,266671.2462995
2018-04-17,113.935,115.756,112.213,114.905,214961.37913538
2018-04-18,114.905,117.102,114.707,116.33,173900.21659223
2018-04-19,116.33,116.815,114.608,114.806,133633.16048475
2018-04-20,113.935,116.043,113.559,114.42,93212.536720495
2018-04-23,114.806,116.241,114.133,115.093,135099.12541881
2018-04-24,114.905,115.855,113.183,113.183,220809.07385513
2018-04-25,113.183,114.608,110.49,110.787,231836.64605036
2018-04-26,111.074,112.698,110.589,110.688,171127.91626206
2018-04-27,112.025,112.411,110.787,111.074,156193.46164091
2018-04-30,111.262,121.22,111.262,119.488,340530.2170125
2018-05-02,119.488,124.278,117.765,119.488,435794.70051526
2018-05-04,119.686,121.121,118.923,119.587,300993.61758822
2018-05-07,121.032,123.516,119.973,122.556,162776.66461151
2018-05-08,123.516,131.177,123.427,131.177,795769.41175308
2018-05-09,131.652,141.52,131.652,138.739,895440.88287982
2018-05-10,139.788,140.659,136.928,138.739,342800.39151755
2018-05-11,138.739,139.788,135.493,138.838,298569.87542639
2018-05-14,139.323,141.708,132.127,133.097,704544.16174885
2018-05-15,129.732,135.671,129.732,133.85,399732.56932547
2018-05-16,134.82,139.125,133.661,138.838,238533.00413648
2018-05-17,138.838,142.57,132.612,133.097,507420.87832387
2018-05-18,133.949,137.403,133.097,134.047,161575.40182268
2018-05-21,135.958,141.708,135.008,140.748,418747.68029995
2018-05-22,141.61,142.184,138.165,140.273,302137.29250576
2018-05-23,140.748,140.748,136.057,138.452,144203.06065025
2018-05-24,138.353,139.6,137.017,138.551,205346.22525705
2018-05-25,139.689,139.689,137.779,138.551,157538.1889512
2018-05-28,138.838,139.6,137.779,138.838,159947.78672359
2018-05-29,139.224,139.224,135.107,137.591,166129.89522223
2018-05-30,136.928,141.045,136.443,140.946,432011.07634017
2018-06-01,140.946,143.144,139.788,143.144,289571.01280221
2018-06-04,144.391,151.191,144.193,150.904,337997.36098928
2018-06-05,151.755,152.141,147.835,150.33,262247.0833455
2018-06-06,152.141,152.913,145.064,146.113,289639.71412235
2018-06-07,146.499,149.082,142.768,146.499,295805.65760448
2018-06-08,147.459,147.459,143.619,143.807,254194.88450024
2018-06-11,153.012,153.012,134.434,137.68,774367.94021744
2018-06-12,138.066,147.261,137.967,143.807,575530.15472967
2018-06-13,150.33,151.854,144.777,148.696,952503.39113329
2018-06-14,148.696,159.901,146.974,157.694,589903.88534089
2018-06-15,158.941,165.167,155.783,160.861,794389.32346919
2018-06-18,161.91,165.077,156.842,164.691,383700.91420922
2018-06-19,162.197,162.484,156.169,158.179,422783.8828579
2018-06-20,158.466,161.633,158.268,158.753,228688.50908652
2018-06-21,159.703,160.089,154.447,157.129,262735.06478116
2018-06-22,157.981,161.336,155.783,159.238,191219.01114748
2018-06-25,159.901,161.148,158.466,158.753,115687.97154002
2018-06-26,156.842,160.188,156.169,158.654,208358.98020768
2018-06-27,157.793,158.852,157.03,157.892,221074.78631389
2018-06-28,157.515,157.892,148.221,150.805,480163.62956023
2018-06-29,150.518,155.308,150.419,154.922,259748.57798235
2018-07-02,152.913,157.793,152.428,154.249,145405.33375262
2018-07-03,155.12,156.743,153.863,155.872,72942.616340017
2018-07-04,156.07,160.475,155.595,160.089,175366.18152629
2018-07-05,160.376,173.214,160.287,171.392,546621.04334219
2018-07-06,171.392,172.343,168.423,169.195,304032.64069067
2018-07-09,169.195,173.402,168.136,168.324,171358.26774722
2018-07-10,169.482,180.489,168.522,170.432,565077.4509338
2018-07-11,170.432,172.828,168.809,171.006,373581.61387872
2018-07-12,172.828,176.945,170.917,176.945,285258.9946502
2018-07-13,175.223,183.834,175.223,183.834,362010.49300359
2018-07-16,184.794,189.011,182.686,189.011,349824.09118784
2018-07-17,186.714,193.227,185.843,192.643,579833.0800599
2018-07-18,192.257,202.214,191.02,200.878,551609.97156024
2018-07-19,200.69,200.69,184.507,194.365,551435.18731931
2018-07-20,190.535,196.672,188.724,195.9,280191.26197669
2018-07-23,198.196,199.542,194.177,194.949,175502.57385303
2018-07-24,197.246,199.918,196.474,199.156,215694.86675918
2018-07-25,198.582,202.986,197.246,201.264,209192.48887109
2018-07-26,201.838,207.391,201.264,205.293,244242.28590242
2018-07-27,206.243,208.737,202.6,208.351,225519.15553851
2018-07-30,207.777,211.608,204.709,205.481,241012.31354253
2018-07-31,205.293,205.293,187.189,189.11,557630.42989385
2018-08-01,186.516,196.474,177.331,196.286,433446.73186829
2018-08-02,194.563,196.088,187.1,187.1,192285.90223664
